TimeStamp,B_x,B_y,B_z,B_net
2020/07/16 09:45:04.743,-32,6,-25,41
2020/07/16 09:45:04.765,-32,6,-25,41
2020/07/16 09:45:04.787,-32,6,-25,41
2020/07/16 09:45:04.808,-32,6,-25,41
2020/07/16 09:45:04.830,-32,6,-25,41
2020/07/16 09:45:04.851,-32,6,-25,41
2020/07/16 09:45:04.883,-32,6,-25,41
2020/07/16 09:45:04.905,-32,6,-25,41
2020/07/16 09:45:04.927,-32,6,-25,41
2020/07/16 09:45:04.949,-32,6,-25,41
2020/07/16 09:45:04.971,-32,6,-25,41
2020/07/16 09:45:04.992,-32,6,-25,41
2020/07/16 09:45:05.014,-32,6,-25,41
2020/07/16 09:45:05.036,-32,6,-25,41
2020/07/16 09:45:05.058,-32,6,-25,41
2020/07/16 09:45:05.079,-32,6,-25,41
2020/07/16 09:45:05.101,-32,6,-25,41
2020/07/16 09:45:05.123,-32,6,-25,41
2020/07/16 09:45:05.144,-32,6,-25,41
2020/07/16 09:45:05.166,-32,6,-25,40
2020/07/16 09:45:05.187,-32,6,-24,40
2020/07/16 09:45:05.209,-32,6,-24,40
2020/07/16 09:45:05.233,-32,6,-24,40
2020/07/16 09:45:05.260,-32,6,-24,40
2020/07/16 09:45:05.286,-32,6,-24,40
2020/07/16 09:45:05.313,-32,6,-24,40
2020/07/16 09:45:05.340,-31,6,-24,40
2020/07/16 09:45:05.367,-31,6,-24,40
2020/07/16 09:45:05.393,-31,6,-24,40
2020/07/16 09:45:05.418,-31,6,-24,40
2020/07/16 09:45:05.445,-31,6,-24,40
2020/07/16 09:45:05.471,-31,6,-24,40
2020/07/16 09:45:05.496,-31,6,-24,40
2020/07/16 09:45:05.521,-31,6,-24,40
2020/07/16 09:45:05.547,-31,6,-24,40
2020/07/16 09:45:05.572,-31,6,-24,40
2020/07/16 09:45:05.597,-31,6,-24,40
2020/07/16 09:45:05.624,-31,6,-24,40
2020/07/16 09:45:05.651,-31,6,-24,40
2020/07/16 09:45:05.678,-31,6,-24,40
2020/07/16 09:45:05.705,-31,6,-24,40
2020/07/16 09:45:05.731,-31,6,-24,40
2020/07/16 09:45:05.758,-31,6,-24,40
2020/07/16 09:45:05.785,-31,6,-24,40
2020/07/16 09:45:05.812,-31,6,-25,40
2020/07/16 09:45:05.838,-31,6,-25,40
2020/07/16 09:45:05.866,-31,6,-25,40
2020/07/16 09:45:05.893,-31,6,-25,40
2020/07/16 09:45:05.920,-31,6,-25,40
2020/07/16 09:45:05.948,-31,6,-25,40
2020/07/16 09:45:05.974,-32,5,-24,40
2020/07/16 09:45:06.001,-32,5,-24,40
2020/07/16 09:45:06.028,-32,5,-24,40
2020/07/16 09:45:06.055,-32,5,-24,40
2020/07/16 09:45:06.082,-32,5,-24,40
2020/07/16 09:45:06.109,-32,5,-24,40
2020/07/16 09:45:06.136,-32,5,-24,40
2020/07/16 09:45:06.163,-32,5,-24,40
2020/07/16 09:45:06.189,-32,5,-24,40
2020/07/16 09:45:06.215,-32,5,-24,40
2020/07/16 09:45:06.240,-32,5,-24,40
2020/07/16 09:45:06.266,-32,5,-24,40
2020/07/16 09:45:06.293,-32,5,-23,40
2020/07/16 09:45:06.320,-32,5,-23,40
2020/07/16 09:45:06.350,-32,5,-23,40
2020/07/16 09:45:06.375,-32,5,-23,40
2020/07/16 09:45:06.402,-32,5,-23,40
2020/07/16 09:45:06.428,-32,5,-23,40
2020/07/16 09:45:06.454,-32,5,-23,40
2020/07/16 09:45:06.481,-32,5,-23,40
2020/07/16 09:45:06.507,-32,5,-23,40
2020/07/16 09:45:06.534,-32,5,-23,40
2020/07/16 09:45:06.560,-32,5,-23,40
2020/07/16 09:45:06.586,-32,5,-23,40
2020/07/16 09:45:06.611,-32,4,-23,40
2020/07/16 09:45:06.640,-32,4,-23,40
2020/07/16 09:45:06.667,-32,4,-23,40
2020/07/16 09:45:06.694,-32,4,-23,40
2020/07/16 09:45:06.721,-32,4,-23,40
2020/07/16 09:45:06.747,-32,4,-23,40
2020/07/16 09:45:06.772,-32,4,-23,40
2020/07/16 09:45:06.796,-32,4,-23,40
2020/07/16 09:45:06.820,-32,4,-23,40
2020/07/16 09:45:06.846,-32,4,-23,40
2020/07/16 09:45:06.873,-32,4,-23,40
2020/07/16 09:45:06.899,-32,4,-23,40
2020/07/16 09:45:06.926,-32,4,-23,40
2020/07/16 09:45:06.951,-32,4,-23,40
2020/07/16 09:45:06.977,-32,4,-23,40
2020/07/16 09:45:07.004,-32,4,-23,40
2020/07/16 09:45:07.030,-32,4,-23,40
2020/07/16 09:45:07.057,-32,4,-23,40
2020/07/16 09:45:07.083,-32,4,-23,40
2020/07/16 09:45:07.110,-31,4,-23,39
2020/07/16 09:45:07.137,-31,4,-23,39
2020/07/16 09:45:07.163,-31,4,-23,39
2020/07/16 09:45:07.190,-31,4,-23,39
2020/07/16 09:45:07.216,-31,4,-23,39
2020/07/16 09:45:07.242,-31,4,-23,39
2020/07/16 09:45:07.269,-31,3,-24,39
2020/07/16 09:45:07.294,-31,3,-24,39
