TimeStamp,B_x,B_y,B_z,B_net
2020/07/25 00:47:39.321,-33,5,-19,38
2020/07/25 00:47:39.344,-33,5,-19,38
2020/07/25 00:47:39.367,-33,5,-19,38
2020/07/25 00:47:39.389,-33,5,-19,38
2020/07/25 00:47:39.410,-33,5,-19,38
2020/07/25 00:47:39.432,-33,5,-19,38
2020/07/25 00:47:39.454,-33,5,-19,38
2020/07/25 00:47:39.476,-33,5,-19,38
2020/07/25 00:47:39.498,-33,5,-19,38
2020/07/25 00:47:39.521,-33,5,-19,38
2020/07/25 00:47:39.542,-33,5,-19,38
2020/07/25 00:47:39.564,-33,5,-19,38
2020/07/25 00:47:39.586,-33,5,-19,38
2020/07/25 00:47:39.608,-33,5,-19,38
2020/07/25 00:47:39.629,-33,5,-19,38
2020/07/25 00:47:39.651,-33,5,-19,38
2020/07/25 00:47:39.673,-33,5,-19,38
2020/07/25 00:47:39.694,-33,5,-19,38
2020/07/25 00:47:39.716,-33,5,-19,38
2020/07/25 00:47:39.737,-33,5,-19,38
2020/07/25 00:47:39.759,-33,5,-19,38
2020/07/25 00:47:39.781,-33,5,-19,38
2020/07/25 00:47:39.804,-33,5,-19,38
2020/07/25 00:47:39.831,-33,5,-19,38
2020/07/25 00:47:39.857,-33,5,-19,38
2020/07/25 00:47:39.884,-33,5,-19,38
2020/07/25 00:47:39.910,-33,5,-20,39
2020/07/25 00:47:39.936,-33,5,-20,39
2020/07/25 00:47:39.961,-33,5,-20,39
2020/07/25 00:47:39.982,-33,5,-20,39
2020/07/25 00:47:40.004,-33,5,-20,39
2020/07/25 00:47:40.025,-33,5,-20,39
2020/07/25 00:47:40.047,-33,5,-20,39
2020/07/25 00:47:40.068,-33,5,-20,39
2020/07/25 00:47:40.090,-33,5,-20,39
2020/07/25 00:47:40.112,-33,5,-20,39
2020/07/25 00:47:40.133,-33,5,-20,39
2020/07/25 00:47:40.155,-33,5,-20,39
2020/07/25 00:47:40.176,-33,5,-20,39
2020/07/25 00:47:40.197,-33,5,-20,39
2020/07/25 00:47:40.219,-33,5,-20,39
2020/07/25 00:47:40.243,-33,5,-20,39
2020/07/25 00:47:40.266,-33,5,-20,39
2020/07/25 00:47:40.289,-33,5,-20,39
2020/07/25 00:47:40.314,-33,5,-20,39
2020/07/25 00:47:40.337,-33,5,-20,39
2020/07/25 00:47:40.359,-33,5,-20,39
2020/07/25 00:47:40.380,-33,5,-20,39
2020/07/25 00:47:40.402,-33,5,-20,39
2020/07/25 00:47:40.424,-33,5,-20,39
2020/07/25 00:47:40.446,-33,5,-20,39
2020/07/25 00:47:40.469,-33,5,-20,39
2020/07/25 00:47:40.491,-33,5,-20,39
2020/07/25 00:47:40.513,-33,5,-20,39
2020/07/25 00:47:40.536,-33,5,-20,39
2020/07/25 00:47:40.557,-33,5,-20,39
2020/07/25 00:47:40.582,-33,5,-20,39
2020/07/25 00:47:40.606,-33,5,-20,39
2020/07/25 00:47:40.629,-33,5,-20,39
2020/07/25 00:47:40.650,-33,5,-20,39
2020/07/25 00:47:40.672,-33,5,-20,39
2020/07/25 00:47:40.694,-33,5,-20,39
2020/07/25 00:47:40.716,-33,5,-20,39
2020/07/25 00:47:40.738,-33,5,-20,39
2020/07/25 00:47:40.760,-33,5,-20,39
2020/07/25 00:47:40.784,-33,5,-20,39
2020/07/25 00:47:40.808,-33,5,-20,39
2020/07/25 00:47:40.830,-33,5,-20,39
2020/07/25 00:47:40.857,-33,5,-20,39
2020/07/25 00:47:40.882,-33,5,-20,39
2020/07/25 00:47:40.907,-33,5,-20,39
2020/07/25 00:47:40.933,-33,5,-20,39
2020/07/25 00:47:40.957,-33,5,-20,39
2020/07/25 00:47:40.983,-33,5,-20,39
2020/07/25 00:47:41.006,-33,5,-20,39
2020/07/25 00:47:41.033,-33,5,-20,39
2020/07/25 00:47:41.057,-33,5,-20,39
2020/07/25 00:47:41.091,-33,5,-20,39
2020/07/25 00:47:41.117,-33,5,-20,39
2020/07/25 00:47:41.144,-33,5,-20,39
2020/07/25 00:47:41.168,-33,5,-20,39
2020/07/25 00:47:41.192,-33,5,-20,39
2020/07/25 00:47:41.218,-33,5,-20,39
2020/07/25 00:47:41.240,-33,5,-20,39
2020/07/25 00:47:41.262,-33,5,-20,39
2020/07/25 00:47:41.286,-33,5,-20,39
2020/07/25 00:47:41.309,-33,5,-20,39
