TimeStamp,B_x,B_y,B_z,B_net
2020/07/24 10:25:00.874,-30,11,-16,36
2020/07/24 10:25:00.897,-30,11,-16,36
2020/07/24 10:25:00.918,-30,11,-16,36
2020/07/24 10:25:00.940,-30,11,-16,36
2020/07/24 10:25:00.962,-30,12,-16,36
2020/07/24 10:25:00.984,-30,12,-16,36
2020/07/24 10:25:01.006,-30,12,-16,36
2020/07/24 10:25:01.027,-30,12,-16,36
2020/07/24 10:25:01.049,-30,12,-16,36
2020/07/24 10:25:01.071,-30,12,-16,36
2020/07/24 10:25:01.092,-30,12,-16,36
2020/07/24 10:25:01.114,-30,12,-16,36
2020/07/24 10:25:01.136,-30,12,-16,36
2020/07/24 10:25:01.157,-30,12,-16,36
2020/07/24 10:25:01.179,-30,12,-16,36
2020/07/24 10:25:01.200,-30,12,-16,36
2020/07/24 10:25:01.221,-30,12,-16,36
2020/07/24 10:25:01.242,-30,12,-16,36
2020/07/24 10:25:01.263,-30,12,-16,36
2020/07/24 10:25:01.285,-29,12,-16,35
2020/07/24 10:25:01.307,-29,12,-16,35
2020/07/24 10:25:01.328,-29,12,-16,35
2020/07/24 10:25:01.352,-29,12,-16,35
2020/07/24 10:25:01.378,-29,12,-16,35
2020/07/24 10:25:01.403,-29,12,-16,35
2020/07/24 10:25:01.430,-29,12,-16,35
2020/07/24 10:25:01.459,-30,13,-16,36
2020/07/24 10:25:01.487,-30,13,-16,36
2020/07/24 10:25:01.513,-30,13,-16,36
2020/07/24 10:25:01.539,-30,13,-16,36
2020/07/24 10:25:01.564,-30,13,-16,36
2020/07/24 10:25:01.589,-30,13,-16,36
2020/07/24 10:25:01.615,-30,12,-16,36
2020/07/24 10:25:01.641,-30,12,-16,36
2020/07/24 10:25:01.667,-30,12,-16,36
2020/07/24 10:25:01.693,-30,12,-16,36
2020/07/24 10:25:01.719,-30,12,-16,36
2020/07/24 10:25:01.744,-30,12,-16,36
2020/07/24 10:25:01.768,-29,12,-16,35
2020/07/24 10:25:01.795,-29,12,-16,35
2020/07/24 10:25:01.820,-29,12,-16,35
2020/07/24 10:25:01.847,-29,12,-16,35
2020/07/24 10:25:01.873,-29,12,-16,35
2020/07/24 10:25:01.899,-29,12,-16,35
2020/07/24 10:25:01.925,-30,12,-16,36
2020/07/24 10:25:01.952,-30,12,-16,36
2020/07/24 10:25:01.979,-30,12,-16,36
2020/07/24 10:25:02.005,-30,12,-16,36
2020/07/24 10:25:02.031,-30,12,-16,36
2020/07/24 10:25:02.055,-30,12,-16,36
2020/07/24 10:25:02.079,-29,12,-16,35
2020/07/24 10:25:02.103,-29,12,-16,35
2020/07/24 10:25:02.128,-29,12,-16,35
2020/07/24 10:25:02.153,-29,12,-16,35
2020/07/24 10:25:02.181,-29,12,-16,35
2020/07/24 10:25:02.207,-29,12,-16,35
2020/07/24 10:25:02.233,-30,11,-16,36
2020/07/24 10:25:02.260,-30,11,-16,36
2020/07/24 10:25:02.285,-30,11,-16,36
2020/07/24 10:25:02.311,-30,11,-16,36
2020/07/24 10:25:02.339,-30,11,-16,36
2020/07/24 10:25:02.365,-30,11,-16,36
2020/07/24 10:25:02.391,-30,11,-16,36
2020/07/24 10:25:02.419,-30,11,-16,36
2020/07/24 10:25:02.445,-30,11,-16,36
2020/07/24 10:25:02.471,-30,11,-16,36
2020/07/24 10:25:02.498,-30,11,-16,36
2020/07/24 10:25:02.524,-30,11,-16,36
2020/07/24 10:25:02.550,-30,11,-16,36
2020/07/24 10:25:02.576,-29,11,-16,35
2020/07/24 10:25:02.601,-29,11,-16,35
2020/07/24 10:25:02.626,-29,11,-16,35
2020/07/24 10:25:02.652,-29,11,-16,35
2020/07/24 10:25:02.678,-29,11,-16,35
2020/07/24 10:25:02.704,-29,11,-16,35
2020/07/24 10:25:02.731,-29,11,-16,35
2020/07/24 10:25:02.759,-29,11,-16,35
2020/07/24 10:25:02.786,-29,11,-16,35
2020/07/24 10:25:02.812,-29,11,-16,35
2020/07/24 10:25:02.838,-29,11,-16,35
2020/07/24 10:25:02.866,-29,11,-16,35
2020/07/24 10:25:02.893,-29,11,-16,35
2020/07/24 10:25:02.919,-29,11,-16,35
2020/07/24 10:25:02.943,-29,11,-16,35
2020/07/24 10:25:02.970,-29,11,-16,35
2020/07/24 10:25:02.996,-29,11,-16,35
2020/07/24 10:25:03.022,-29,11,-16,35
2020/07/24 10:25:03.048,-29,12,-16,35
2020/07/24 10:25:03.072,-29,12,-16,35
2020/07/24 10:25:03.096,-29,12,-16,35
2020/07/24 10:25:03.122,-29,12,-16,35
2020/07/24 10:25:03.146,-29,12,-16,35
2020/07/24 10:25:03.171,-29,12,-16,35
2020/07/24 10:25:03.196,-29,12,-16,35
2020/07/24 10:25:03.223,-29,12,-16,35
2020/07/24 10:25:03.249,-29,12,-16,35
2020/07/24 10:25:03.275,-29,12,-16,35
2020/07/24 10:25:03.302,-29,12,-16,35
2020/07/24 10:25:03.327,-29,12,-16,35
2020/07/24 10:25:03.352,-30,12,-16,36
2020/07/24 10:25:03.377,-30,12,-16,36
2020/07/24 10:25:03.404,-30,12,-16,36
2020/07/24 10:25:03.430,-30,12,-16,36
2020/07/24 10:25:03.456,-30,12,-16,36
2020/07/24 10:25:03.482,-30,12,-16,36
2020/07/24 10:25:03.509,-30,12,-16,36
2020/07/24 10:25:03.536,-30,11,-16,36
2020/07/24 10:25:03.563,-30,11,-16,36
2020/07/24 10:25:03.589,-30,11,-16,36
2020/07/24 10:25:03.614,-30,11,-16,36
2020/07/24 10:25:03.641,-30,11,-16,36
2020/07/24 10:25:03.668,-30,11,-16,36
2020/07/24 10:25:03.694,-30,11,-16,36
2020/07/24 10:25:03.721,-30,11,-16,36
2020/07/24 10:25:03.747,-30,11,-16,36
2020/07/24 10:25:03.773,-30,11,-16,36
2020/07/24 10:25:03.797,-30,11,-16,36
2020/07/24 10:25:03.824,-30,11,-16,36
2020/07/24 10:25:03.852,-30,11,-15,35
2020/07/24 10:25:03.879,-30,11,-15,35
2020/07/24 10:25:03.907,-30,11,-15,35
2020/07/24 10:25:03.934,-30,11,-15,35
2020/07/24 10:25:03.960,-30,11,-15,35
2020/07/24 10:25:03.987,-30,11,-15,35
2020/07/24 10:25:04.013,-30,11,-15,35
2020/07/24 10:25:04.038,-30,11,-15,35
2020/07/24 10:25:04.065,-30,11,-15,35
2020/07/24 10:25:04.091,-30,11,-15,35
2020/07/24 10:25:04.117,-30,11,-15,35
2020/07/24 10:25:04.144,-30,11,-15,35
2020/07/24 10:25:04.172,-30,11,-15,35
2020/07/24 10:25:04.198,-30,11,-15,35
2020/07/24 10:25:04.223,-30,11,-15,35
2020/07/24 10:25:04.249,-30,11,-15,35
2020/07/24 10:25:04.276,-30,11,-15,35
2020/07/24 10:25:04.303,-30,11,-15,35
2020/07/24 10:25:04.332,-30,11,-16,36
2020/07/24 10:25:04.361,-30,11,-16,36
2020/07/24 10:25:04.386,-30,11,-16,36
2020/07/24 10:25:04.412,-30,11,-16,36
2020/07/24 10:25:04.437,-30,11,-16,36
2020/07/24 10:25:04.462,-30,11,-16,36
2020/07/24 10:25:04.488,-30,11,-16,36
2020/07/24 10:25:04.515,-30,11,-16,36
2020/07/24 10:25:04.543,-30,11,-16,36
2020/07/24 10:25:04.569,-30,11,-16,36
2020/07/24 10:25:04.595,-30,11,-16,36
2020/07/24 10:25:04.622,-30,11,-16,36
2020/07/24 10:25:04.648,-29,11,-16,35
2020/07/24 10:25:04.675,-29,11,-16,35
2020/07/24 10:25:04.702,-29,11,-16,35
2020/07/24 10:25:04.728,-29,11,-16,35
2020/07/24 10:25:04.755,-29,11,-16,35
2020/07/24 10:25:04.781,-29,11,-16,35
2020/07/24 10:25:04.807,-29,11,-16,35
2020/07/24 10:25:04.834,-29,11,-16,35
2020/07/24 10:25:04.860,-29,11,-16,35
2020/07/24 10:25:04.884,-29,11,-16,35
2020/07/24 10:25:04.911,-29,11,-16,35
2020/07/24 10:25:04.936,-29,11,-16,35
2020/07/24 10:25:04.962,-28,11,-16,34
2020/07/24 10:25:04.989,-28,11,-16,34
2020/07/24 10:25:05.015,-28,11,-16,34
2020/07/24 10:25:05.040,-28,11,-16,34
2020/07/24 10:25:05.065,-28,11,-16,34
2020/07/24 10:25:05.091,-28,11,-16,34
2020/07/24 10:25:05.116,-29,12,-15,35
2020/07/24 10:25:05.143,-29,12,-15,35
2020/07/24 10:25:05.170,-29,12,-15,35
2020/07/24 10:25:05.197,-29,12,-15,35
2020/07/24 10:25:05.223,-29,12,-15,35
2020/07/24 10:25:05.248,-29,12,-15,35
2020/07/24 10:25:05.273,-29,12,-16,35
2020/07/24 10:25:05.299,-29,12,-16,35
2020/07/24 10:25:05.327,-29,12,-16,35
2020/07/24 10:25:05.354,-29,12,-16,35
2020/07/24 10:25:05.381,-29,12,-16,35
2020/07/24 10:25:05.407,-29,12,-16,35
2020/07/24 10:25:05.434,-30,12,-16,36
2020/07/24 10:25:05.461,-30,12,-16,36
2020/07/24 10:25:05.488,-30,12,-16,36
2020/07/24 10:25:05.514,-30,12,-16,36
2020/07/24 10:25:05.541,-30,12,-16,36
2020/07/24 10:25:05.568,-30,12,-16,36
2020/07/24 10:25:05.595,-31,12,-16,37
2020/07/24 10:25:05.622,-31,12,-16,37
2020/07/24 10:25:05.648,-31,12,-16,37
2020/07/24 10:25:05.673,-31,12,-16,37
2020/07/24 10:25:05.698,-31,12,-16,37
2020/07/24 10:25:05.723,-31,12,-16,37
2020/07/24 10:25:05.749,-31,12,-16,37
2020/07/24 10:25:05.776,-31,12,-16,37
2020/07/24 10:25:05.803,-31,12,-16,37
2020/07/24 10:25:05.830,-31,12,-16,37
2020/07/24 10:25:05.857,-31,12,-16,37
2020/07/24 10:25:05.883,-31,12,-16,37
2020/07/24 10:25:05.910,-31,12,-16,37
2020/07/24 10:25:05.937,-30,12,-16,36
2020/07/24 10:25:05.964,-30,12,-16,36
2020/07/24 10:25:05.991,-30,12,-16,36
2020/07/24 10:25:06.017,-30,12,-16,36
2020/07/24 10:25:06.044,-30,12,-16,36
2020/07/24 10:25:06.071,-30,11,-16,36
2020/07/24 10:25:06.098,-30,11,-16,36
2020/07/24 10:25:06.126,-30,11,-16,36
2020/07/24 10:25:06.152,-30,11,-16,36
2020/07/24 10:25:06.179,-30,11,-16,36
2020/07/24 10:25:06.205,-30,11,-16,36
2020/07/24 10:25:06.231,-30,11,-16,35
2020/07/24 10:25:06.256,-30,11,-15,35
2020/07/24 10:25:06.283,-30,11,-15,35
2020/07/24 10:25:06.307,-30,11,-15,35
2020/07/24 10:25:06.332,-30,11,-15,35
2020/07/24 10:25:06.359,-30,11,-15,35
2020/07/24 10:25:06.385,-30,11,-15,35
2020/07/24 10:25:06.412,-30,11,-16,36
2020/07/24 10:25:06.440,-30,11,-16,36
2020/07/24 10:25:06.467,-30,11,-16,36
2020/07/24 10:25:06.494,-30,11,-16,36
2020/07/24 10:25:06.522,-30,11,-16,36
2020/07/24 10:25:06.549,-30,11,-16,36
2020/07/24 10:25:06.577,-30,11,-15,35
2020/07/24 10:25:06.605,-30,11,-15,35
2020/07/24 10:25:06.631,-30,11,-15,35
2020/07/24 10:25:06.658,-30,11,-15,35
2020/07/24 10:25:06.684,-30,11,-15,35
2020/07/24 10:25:06.712,-30,11,-16,36
2020/07/24 10:25:06.739,-30,11,-16,36
2020/07/24 10:25:06.766,-30,11,-16,36
2020/07/24 10:25:06.792,-30,11,-16,36
2020/07/24 10:25:06.819,-30,11,-16,36
2020/07/24 10:25:06.845,-30,11,-16,36
2020/07/24 10:25:06.871,-29,11,-16,35
2020/07/24 10:25:06.898,-29,11,-16,35
2020/07/24 10:25:06.925,-29,11,-16,35
2020/07/24 10:25:06.952,-29,11,-16,35
2020/07/24 10:25:06.979,-29,11,-16,35
2020/07/24 10:25:07.006,-29,11,-16,35
2020/07/24 10:25:07.032,-29,11,-16,35
2020/07/24 10:25:07.059,-29,11,-16,35
2020/07/24 10:25:07.086,-29,11,-16,35
2020/07/24 10:25:07.113,-29,11,-16,35
2020/07/24 10:25:07.139,-29,11,-16,35
2020/07/24 10:25:07.166,-29,11,-16,35
2020/07/24 10:25:07.192,-29,11,-16,35
2020/07/24 10:25:07.219,-29,11,-16,35
2020/07/24 10:25:07.246,-29,11,-16,35
2020/07/24 10:25:07.276,-29,11,-16,35
2020/07/24 10:25:07.302,-29,11,-16,35
2020/07/24 10:25:07.328,-29,11,-16,35
2020/07/24 10:25:07.353,-29,11,-16,35
2020/07/24 10:25:07.379,-29,11,-16,35
2020/07/24 10:25:07.406,-29,11,-16,35
2020/07/24 10:25:07.433,-29,11,-16,35
2020/07/24 10:25:07.459,-29,11,-16,35
2020/07/24 10:25:07.486,-29,11,-16,35
2020/07/24 10:25:07.513,-29,12,-16,35
2020/07/24 10:25:07.539,-29,12,-16,35
2020/07/24 10:25:07.566,-29,12,-16,35
2020/07/24 10:25:07.593,-29,12,-16,35
2020/07/24 10:25:07.620,-29,12,-16,35
2020/07/24 10:25:07.647,-29,12,-16,35
2020/07/24 10:25:07.675,-29,11,-16,35
2020/07/24 10:25:07.701,-29,11,-16,35
2020/07/24 10:25:07.728,-29,11,-16,35
2020/07/24 10:25:07.754,-29,11,-16,35
2020/07/24 10:25:07.779,-29,11,-16,35
2020/07/24 10:25:07.806,-29,11,-16,35
2020/07/24 10:25:07.832,-29,12,-16,35
2020/07/24 10:25:07.859,-29,12,-16,35
2020/07/24 10:25:07.886,-29,12,-16,35
2020/07/24 10:25:07.913,-29,12,-16,35
2020/07/24 10:25:07.940,-29,12,-16,35
2020/07/24 10:25:07.967,-29,12,-16,35
2020/07/24 10:25:07.993,-29,12,-16,35
2020/07/24 10:25:08.022,-29,12,-16,35
2020/07/24 10:25:08.049,-29,12,-16,35
2020/07/24 10:25:08.076,-29,12,-16,35
2020/07/24 10:25:08.104,-29,12,-16,35
2020/07/24 10:25:08.131,-29,12,-16,35
2020/07/24 10:25:08.156,-29,11,-15,34
2020/07/24 10:25:08.200,-29,11,-15,34
2020/07/24 10:25:08.225,-29,11,-15,34
2020/07/24 10:25:08.251,-29,11,-15,34
2020/07/24 10:25:08.279,-29,11,-15,34
2020/07/24 10:25:08.304,-29,11,-15,34
2020/07/24 10:25:08.331,-29,11,-15,34
2020/07/24 10:25:08.356,-29,11,-15,34
2020/07/24 10:25:08.382,-29,11,-15,34
2020/07/24 10:25:08.407,-29,11,-15,34
2020/07/24 10:25:08.431,-29,11,-15,34
2020/07/24 10:25:08.458,-29,11,-15,34
2020/07/24 10:25:08.484,-30,11,-15,35
2020/07/24 10:25:08.512,-30,11,-15,35
2020/07/24 10:25:08.539,-30,11,-15,35
2020/07/24 10:25:08.566,-30,11,-15,35
2020/07/24 10:25:08.594,-30,11,-15,35
2020/07/24 10:25:08.622,-30,11,-15,35
2020/07/24 10:25:08.648,-30,11,-16,36
2020/07/24 10:25:08.675,-30,11,-16,36
2020/07/24 10:25:08.702,-30,11,-16,36
2020/07/24 10:25:08.728,-30,11,-16,36
2020/07/24 10:25:08.754,-30,11,-16,36
2020/07/24 10:25:08.778,-30,11,-16,36
2020/07/24 10:25:08.806,-30,12,-15,36
2020/07/24 10:25:08.830,-30,12,-15,36
2020/07/24 10:25:08.854,-30,12,-15,36
2020/07/24 10:25:08.879,-30,12,-15,36
2020/07/24 10:25:08.904,-30,12,-15,36
2020/07/24 10:25:08.928,-30,12,-15,36
2020/07/24 10:25:08.952,-30,12,-15,36
2020/07/24 10:25:08.976,-30,12,-15,36
2020/07/24 10:25:08.999,-30,12,-15,36
2020/07/24 10:25:09.022,-30,12,-15,36
2020/07/24 10:25:09.047,-30,12,-15,36
2020/07/24 10:25:09.074,-30,12,-15,36
2020/07/24 10:25:09.100,-30,12,-15,36
2020/07/24 10:25:09.127,-30,12,-15,36
2020/07/24 10:25:09.154,-30,12,-15,36
2020/07/24 10:25:09.180,-30,12,-15,36
2020/07/24 10:25:09.207,-30,12,-15,36
2020/07/24 10:25:09.233,-30,12,-15,36
2020/07/24 10:25:09.260,-30,12,-15,36
2020/07/24 10:25:09.287,-29,13,-15,35
2020/07/24 10:25:09.315,-29,13,-15,35
2020/07/24 10:25:09.342,-29,13,-15,35
2020/07/24 10:25:09.369,-29,13,-15,35
2020/07/24 10:25:09.395,-29,13,-15,35
2020/07/24 10:25:09.420,-29,13,-15,35
2020/07/24 10:25:09.445,-30,12,-15,36
2020/07/24 10:25:09.469,-30,12,-15,36
2020/07/24 10:25:09.494,-30,12,-15,36
2020/07/24 10:25:09.519,-30,12,-15,36
2020/07/24 10:25:09.545,-30,12,-15,36
2020/07/24 10:25:09.571,-30,12,-15,36
2020/07/24 10:25:09.599,-30,12,-16,36
2020/07/24 10:25:09.626,-30,12,-16,36
2020/07/24 10:25:09.653,-30,12,-16,36
2020/07/24 10:25:09.679,-30,12,-16,36
2020/07/24 10:25:09.706,-30,12,-16,36
2020/07/24 10:25:09.732,-30,12,-16,36
2020/07/24 10:25:09.759,-30,12,-16,36
2020/07/24 10:25:09.786,-30,12,-16,36
2020/07/24 10:25:09.813,-30,12,-16,36
2020/07/24 10:25:09.839,-30,12,-16,36
2020/07/24 10:25:09.866,-30,12,-16,36
2020/07/24 10:25:09.893,-30,12,-16,36
2020/07/24 10:25:09.920,-30,12,-16,36
2020/07/24 10:25:09.947,-30,12,-16,36
2020/07/24 10:25:09.974,-30,12,-16,36
2020/07/24 10:25:10.001,-30,12,-16,36
2020/07/24 10:25:10.028,-30,12,-16,36
2020/07/24 10:25:10.054,-30,12,-16,36
2020/07/24 10:25:10.079,-30,12,-16,36
2020/07/24 10:25:10.105,-30,12,-16,36
2020/07/24 10:25:10.131,-30,12,-16,36
2020/07/24 10:25:10.158,-30,12,-16,36
2020/07/24 10:25:10.185,-30,12,-16,36
2020/07/24 10:25:10.211,-30,12,-16,36
2020/07/24 10:25:10.238,-30,12,-15,36
2020/07/24 10:25:10.265,-30,12,-15,36
2020/07/24 10:25:10.291,-30,12,-15,36
2020/07/24 10:25:10.318,-30,12,-15,36
2020/07/24 10:25:10.344,-30,12,-15,36
2020/07/24 10:25:10.371,-30,12,-15,36
2020/07/24 10:25:10.398,-30,13,-15,36
2020/07/24 10:25:10.425,-30,13,-15,36
2020/07/24 10:25:10.451,-30,13,-15,36
2020/07/24 10:25:10.478,-30,13,-15,36
2020/07/24 10:25:10.504,-30,13,-15,36
2020/07/24 10:25:10.529,-30,13,-15,36
2020/07/24 10:25:10.555,-30,12,-15,36
2020/07/24 10:25:10.582,-30,12,-15,36
2020/07/24 10:25:10.610,-30,12,-15,36
2020/07/24 10:25:10.637,-30,12,-15,36
2020/07/24 10:25:10.663,-30,12,-15,36
2020/07/24 10:25:10.690,-30,12,-15,36
2020/07/24 10:25:10.716,-30,12,-15,36
2020/07/24 10:25:10.741,-30,12,-15,36
2020/07/24 10:25:10.770,-30,12,-15,36
2020/07/24 10:25:10.796,-30,12,-15,36
2020/07/24 10:25:10.823,-30,12,-15,36
2020/07/24 10:25:10.849,-30,12,-15,36
2020/07/24 10:25:10.876,-30,12,-16,36
2020/07/24 10:25:10.903,-30,12,-16,36
2020/07/24 10:25:10.931,-30,12,-16,36
2020/07/24 10:25:10.959,-30,12,-16,36
2020/07/24 10:25:10.986,-30,12,-16,36
2020/07/24 10:25:11.012,-30,12,-16,36
2020/07/24 10:25:11.039,-29,12,-16,35
2020/07/24 10:25:11.066,-29,12,-16,35
2020/07/24 10:25:11.093,-29,12,-16,35
2020/07/24 10:25:11.119,-29,12,-16,35
2020/07/24 10:25:11.146,-29,12,-16,35
2020/07/24 10:25:11.173,-29,12,-16,35
2020/07/24 10:25:11.200,-29,12,-17,36
2020/07/24 10:25:11.227,-29,12,-17,36
2020/07/24 10:25:11.253,-29,12,-17,36
2020/07/24 10:25:11.280,-29,12,-17,36
2020/07/24 10:25:11.307,-29,12,-17,36
2020/07/24 10:25:11.333,-29,12,-17,36
2020/07/24 10:25:11.360,-29,12,-17,36
2020/07/24 10:25:11.387,-29,12,-17,36
2020/07/24 10:25:11.413,-29,12,-17,36
2020/07/24 10:25:11.440,-29,12,-17,36
2020/07/24 10:25:11.467,-29,12,-17,36
2020/07/24 10:25:11.493,-29,12,-17,36
2020/07/24 10:25:11.519,-29,11,-17,35
2020/07/24 10:25:11.544,-29,11,-17,35
2020/07/24 10:25:11.569,-29,11,-17,35
2020/07/24 10:25:11.594,-29,11,-17,35
2020/07/24 10:25:11.620,-29,11,-17,35
2020/07/24 10:25:11.647,-29,11,-17,35
2020/07/24 10:25:11.673,-29,11,-17,35
2020/07/24 10:25:11.700,-29,11,-17,35
2020/07/24 10:25:11.727,-29,11,-17,35
2020/07/24 10:25:11.754,-29,11,-17,35
2020/07/24 10:25:11.781,-29,11,-17,35
2020/07/24 10:25:11.807,-29,11,-17,35
2020/07/24 10:25:11.834,-29,12,-16,35
2020/07/24 10:25:11.860,-29,12,-16,35
2020/07/24 10:25:11.887,-29,12,-16,35
2020/07/24 10:25:11.914,-29,12,-16,35
2020/07/24 10:25:11.940,-29,12,-16,35
2020/07/24 10:25:11.967,-29,12,-16,35
2020/07/24 10:25:11.994,-29,12,-16,35
2020/07/24 10:25:12.019,-29,12,-16,35
2020/07/24 10:25:12.046,-29,12,-16,35
2020/07/24 10:25:12.073,-29,12,-16,35
2020/07/24 10:25:12.100,-29,12,-16,35
2020/07/24 10:25:12.126,-29,12,-16,35
2020/07/24 10:25:12.153,-29,12,-16,35
2020/07/24 10:25:12.180,-29,12,-16,35
2020/07/24 10:25:12.206,-29,12,-16,35
2020/07/24 10:25:12.233,-29,12,-16,35
2020/07/24 10:25:12.260,-29,12,-16,35
2020/07/24 10:25:12.287,-29,12,-16,35
2020/07/24 10:25:12.314,-30,12,-15,36
2020/07/24 10:25:12.340,-30,12,-15,36
2020/07/24 10:25:12.368,-30,12,-15,36
2020/07/24 10:25:12.395,-30,12,-15,36
2020/07/24 10:25:12.423,-30,12,-15,36
2020/07/24 10:25:12.450,-30,12,-15,36
2020/07/24 10:25:12.476,-30,12,-15,36
2020/07/24 10:25:12.502,-30,12,-15,36
2020/07/24 10:25:12.530,-30,12,-15,36
2020/07/24 10:25:12.555,-30,12,-15,36
2020/07/24 10:25:12.579,-30,12,-15,36
2020/07/24 10:25:12.604,-30,12,-15,36
2020/07/24 10:25:12.629,-30,12,-15,36
2020/07/24 10:25:12.656,-30,12,-15,36
2020/07/24 10:25:12.683,-30,12,-15,36
2020/07/24 10:25:12.710,-30,12,-15,36
2020/07/24 10:25:12.736,-30,12,-15,36
2020/07/24 10:25:12.763,-30,12,-15,36
2020/07/24 10:25:12.790,-30,12,-16,36
2020/07/24 10:25:12.818,-30,12,-16,36
2020/07/24 10:25:12.845,-30,12,-16,36
2020/07/24 10:25:12.872,-30,12,-16,36
2020/07/24 10:25:12.898,-30,12,-16,36
2020/07/24 10:25:12.923,-30,12,-16,36
2020/07/24 10:25:12.948,-30,12,-16,36
2020/07/24 10:25:12.975,-30,12,-16,36
2020/07/24 10:25:13.003,-30,12,-16,36
2020/07/24 10:25:13.030,-30,12,-16,36
2020/07/24 10:25:13.057,-30,12,-16,36
2020/07/24 10:25:13.084,-30,12,-16,36
2020/07/24 10:25:13.109,-29,12,-16,35
2020/07/24 10:25:13.134,-29,12,-16,35
2020/07/24 10:25:13.161,-29,12,-16,35
2020/07/24 10:25:13.188,-29,12,-16,35
